latitude,longitude,time,call_duration,call_type,respTime
-1.139831969,-2.068302543,-1.425837758,-1.117367752,0,6.6
-0.44686172,-2.397227643,-1.408631515,1.594716006,0,11.1
0.837901514,1.228960252,-1.394132854,-0.722651337,0,6.1
-0.14748508,-0.005856938,-1.368847537,0.283238883,1,4.594444444
0.692114403,0.494782369,-1.367188052,0.385101184,0,8.083333333
0.874860164,0.067147236,-1.34941409,0.232307733,0,5.066666667
0.714562002,0.366024416,-1.337098962,-0.684452974,2,4.552083333
-1.533190228,0.705862419,-1.321595875,-1.117367752,0,7.283333333
-2.41841253,0.349192647,-1.320067402,-1.117367752,3,6.624999999
-1.709563628,-0.225337789,-1.313953508,-0.608056248,0,8.361111112
-0.30792641,-0.423962226,-1.309280747,-1.117367752,0,6.866666667
-1.310962974,0.086008294,-1.306311142,-0.633521824,0,7.008333333
-1.750097786,1.328792106,-1.288493509,-1.053703814,0,11.81666667
0.3286371,-2.612187634,-1.256788605,-0.951841514,1,8.06111111
-0.116520054,-0.022275445,-1.219886891,0.295971671,1,5.638888889
1.02734398,0.999214198,-1.177919379,0.130445432,1,4.388888889
-2.532936333,-0.110473558,-1.156127716,-1.117367752,0,16.51666667
0.5879103,0.159295972,-1.123243704,-0.786315275,0,2.016666667
0.883408367,0.923435757,-1.099617873,0.448765122,0,3.8
0.229825407,-0.099490649,-1.097609022,-0.047813594,0,2.266666667
0.319285476,1.139760788,-1.097783705,0.19410937,0,12.15
0.512965657,-0.054072711,-1.091800823,-1.117367752,0,22.45
-0.10200622,-0.216653374,-1.07655976,-1.117367752,0,5.416666667
0.55794961,0.78480955,-1.075467994,-0.327934921,0,14.66666667
-0.535874914,0.286343938,-1.068611699,-0.531659523,0,3.85
-1.452644095,1.434495605,-1.066297153,0.155911007,0,12.78333333
0.352338364,0.423262451,-1.054811768,-0.009615231,0,4.275
0.674903164,0.208402584,-1.052497223,0.117712645,0,3.566666666
0.524136094,0.563452954,-1.01895815,0.092247069,0,11.3
-0.30792641,-0.423962226,-1.008739214,-1.117367752,0,26.88333333
-0.124442266,0.085150964,-1.013586658,0.716153662,2,3.648148148
0.009005783,-0.711293652,-1.007647447,-0.12421032,0,11.18333333
-2.392742722,-1.879305682,-1.000441787,0.19410937,0,12.85
0.581539126,-2.385994291,-0.994677259,0.983542201,0,6.466666667
0.618459867,0.251425925,-0.924411155,-1.117367752,3,3.4
0.363076551,0.439479078,-0.922227622,-1.117367752,0,7.75
0.457551986,-1.628695553,-0.899693557,-0.518926735,0,3.172222222
0.607432754,0.318299217,-0.884365153,0.932611051,0,4
0.583342559,0.160136841,-0.864494999,0.155911007,0,11.88333333
-0.116520054,-0.022275445,-0.852048859,0.270506096,1,2.066666667
0.56333714,-0.941639358,-0.840257779,-0.429797222,0,4.775
0.739937868,-0.193474964,-0.820431296,-0.149675895,0,4.425
1.168025819,-0.532507536,-0.818684469,-0.277003771,0,4.5
0.319957422,-0.086051121,-0.811784504,-0.429797222,0,6.15
1.504042678,0.668337702,-0.743745604,0.092247069,0,11.45
1.744539824,2.273006553,-0.694921798,0.028583131,3,7.945833334
0.352338364,0.423262451,-0.688152845,0.168643795,0,5.125
